,Local,Visitante,"cuota-2,5","cuota+2,5"
0,Granada,Sevilla,1.67,2.1
1,Celta,Atletico de Madrid,1.53,2.38
2,Real Madrid,Cádiz,2.3,1.57
3,Getafe,Barcelona,1.85,1.85
4,Eibar,Osasuna,1.5,2.5
5,Athletic Club,Levante,1.53,2.38
6,Villareal,Valencia,2.0,1.73
7,Alavés,Elche,1.44,2.62
8,Huesca,Real Valladolid,1.4,2.75
9,Real Betis,Real Sociedad,1.85,1.85
