,Cuotas,Equipos
0,1.4,Elche
1,2.62,Eibar
2,2.75,Huesca
3,2.75,Real Valladolid
4,2.88,Cádiz
5,3.5,Alavés
6,4.5,Levante
7,7.5,Osasuna
8,9.0,Valencia
9,10.0,Celta
10,12.0,Granada
11,34.0,Athletic Club
12,41.0,Real Betis
13,46.0,Real Sociedad
14,51.0,Getafe
15,67.0,Villarreal
16,251.0,Sevilla
17,501.0,Atlético Madrid
18,501.0,Barcelona
19,501.0,Real Madrid
